agent_id,model_name,job_category,job_difficulty,total_attempts,avg_count_per_run,std_count_per_run,n_runs
agent_1,gemma4:e4b,biology,hard,5,1.6666666666666667,0.5773502691896258,3
agent_1,gemma4:e4b,biology,medium,5,1.6666666666666667,0.5773502691896257,3
agent_1,gemma4:e4b,business,easy,1,1.0,,1
agent_1,gemma4:e4b,business,hard,12,2.4,2.073644135332772,5
agent_1,gemma4:e4b,business,medium,4,1.3333333333333333,0.5773502691896257,3
agent_1,gemma4:e4b,chemistry,hard,8,1.6,0.5477225575051661,5
agent_1,gemma4:e4b,chemistry,medium,1,1.0,,1
agent_1,gemma4:e4b,computer science,easy,3,1.5,0.7071067811865476,2
agent_1,gemma4:e4b,computer science,hard,3,1.5,0.7071067811865476,2
agent_1,gemma4:e4b,computer science,medium,2,1.0,0.0,2
agent_1,gemma4:e4b,economics,easy,2,1.0,0.0,2
agent_1,gemma4:e4b,economics,hard,10,3.3333333333333335,2.3094010767585034,3
agent_1,gemma4:e4b,economics,medium,9,2.25,1.5,4
agent_1,gemma4:e4b,engineering,hard,4,1.3333333333333333,0.5773502691896258,3
agent_1,gemma4:e4b,engineering,medium,2,1.0,0.0,2
agent_1,gemma4:e4b,health,hard,5,1.25,0.5,4
agent_1,gemma4:e4b,health,medium,1,1.0,,1
agent_1,gemma4:e4b,history,hard,8,2.0,0.816496580927726,4
agent_1,gemma4:e4b,history,medium,4,1.3333333333333333,0.5773502691896258,3
agent_1,gemma4:e4b,law,hard,14,3.5,1.2909944487358056,4
agent_1,gemma4:e4b,law,medium,1,1.0,,1
agent_1,gemma4:e4b,math,easy,1,1.0,,1
agent_1,gemma4:e4b,math,hard,10,2.5,2.380476142847616,4
agent_1,gemma4:e4b,math,medium,7,3.5,2.1213203435596424,2
agent_1,gemma4:e4b,philosophy,hard,1,1.0,,1
agent_1,gemma4:e4b,philosophy,medium,3,1.5,0.7071067811865476,2
agent_1,gemma4:e4b,physics,hard,8,2.6666666666666665,1.5275252316519465,3
agent_1,gemma4:e4b,physics,medium,7,3.5,0.7071067811865476,2
agent_1,gemma4:e4b,psychology,easy,1,1.0,,1
agent_1,gemma4:e4b,psychology,hard,2,1.0,0.0,2
agent_1,gemma4:e4b,psychology,medium,6,1.5,1.0,4
agent_2,nemotron-3-nano:4b,biology,easy,3,1.5,0.7071067811865476,2
agent_2,nemotron-3-nano:4b,biology,hard,1,1.0,,1
agent_2,nemotron-3-nano:4b,biology,medium,6,2.0,1.7320508075688772,3
agent_2,nemotron-3-nano:4b,business,easy,4,2.0,1.4142135623730951,2
agent_2,nemotron-3-nano:4b,business,hard,2,2.0,,1
agent_2,nemotron-3-nano:4b,business,medium,5,1.0,0.0,5
agent_2,nemotron-3-nano:4b,chemistry,easy,3,1.0,0.0,3
agent_2,nemotron-3-nano:4b,chemistry,hard,1,1.0,,1
agent_2,nemotron-3-nano:4b,chemistry,medium,4,2.0,0.0,2
agent_2,nemotron-3-nano:4b,computer science,easy,3,1.5,0.7071067811865476,2
agent_2,nemotron-3-nano:4b,computer science,hard,1,1.0,,1
agent_2,nemotron-3-nano:4b,computer science,medium,6,1.5,0.5773502691896257,4
agent_2,nemotron-3-nano:4b,economics,easy,2,1.0,0.0,2
agent_2,nemotron-3-nano:4b,economics,hard,1,1.0,,1
agent_2,nemotron-3-nano:4b,economics,medium,7,1.4,0.8944271909999159,5
agent_2,nemotron-3-nano:4b,engineering,easy,3,1.5,0.7071067811865476,2
agent_2,nemotron-3-nano:4b,engineering,medium,7,3.5,2.1213203435596424,2
