agent_id,model_name,job_category,job_difficulty,total_attempts,avg_count_per_run,std_count_per_run,n_runs
agent_1,gemma4:e4b,biology,hard,8,2.0,1.4142135623730951,4
agent_1,gemma4:e4b,business,hard,12,3.0,1.4142135623730951,4
agent_1,gemma4:e4b,business,medium,1,1.0,,1
agent_1,gemma4:e4b,chemistry,hard,12,2.4,1.1401754250991378,5
agent_1,gemma4:e4b,chemistry,medium,1,1.0,,1
agent_1,gemma4:e4b,computer science,easy,1,1.0,,1
agent_1,gemma4:e4b,computer science,hard,9,1.8,0.8366600265340756,5
agent_1,gemma4:e4b,computer science,medium,1,1.0,,1
agent_1,gemma4:e4b,economics,hard,10,2.5,1.7320508075688772,4
agent_1,gemma4:e4b,economics,medium,1,1.0,,1
agent_1,gemma4:e4b,engineering,easy,1,1.0,,1
agent_1,gemma4:e4b,engineering,hard,5,1.6666666666666667,1.1547005383792517,3
agent_1,gemma4:e4b,engineering,medium,1,1.0,,1
agent_1,gemma4:e4b,health,hard,11,2.2,1.7888543819998317,5
agent_1,gemma4:e4b,history,easy,1,1.0,,1
agent_1,gemma4:e4b,history,hard,10,2.5,1.0,4
agent_1,gemma4:e4b,history,medium,1,1.0,,1
agent_1,gemma4:e4b,law,hard,10,2.5,1.0,4
agent_1,gemma4:e4b,law,medium,1,1.0,,1
agent_1,gemma4:e4b,math,hard,9,1.8,0.4472135954999579,5
agent_1,gemma4:e4b,math,medium,5,1.25,0.5,4
agent_1,gemma4:e4b,philosophy,hard,9,2.25,0.9574271077563381,4
agent_1,gemma4:e4b,philosophy,medium,1,1.0,,1
agent_1,gemma4:e4b,physics,hard,17,3.4,1.51657508881031,5
agent_1,gemma4:e4b,psychology,hard,7,1.4,0.5477225575051661,5
agent_1,gemma4:e4b,psychology,medium,1,1.0,,1
agent_2,nemotron-3-nano:4b,biology,easy,4,2.0,1.4142135623730951,2
agent_2,nemotron-3-nano:4b,biology,hard,7,1.4,0.5477225575051662,5
agent_2,nemotron-3-nano:4b,biology,medium,3,1.0,0.0,3
agent_2,nemotron-3-nano:4b,business,easy,1,1.0,,1
agent_2,nemotron-3-nano:4b,business,hard,8,2.0,1.1547005383792515,4
agent_2,nemotron-3-nano:4b,business,medium,6,1.5,0.5773502691896257,4
agent_2,nemotron-3-nano:4b,chemistry,hard,4,1.3333333333333333,0.5773502691896258,3
agent_2,nemotron-3-nano:4b,chemistry,medium,2,1.0,0.0,2
agent_2,nemotron-3-nano:4b,computer science,hard,5,1.6666666666666667,0.5773502691896258,3
